country,sheng,shi,qu,lat,lng
中国,广东省,中山市,市辖区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,东城区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,西城区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,朝阳区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,丰台区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,石景山区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,海淀区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,门头沟区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,房山区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,通州区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,顺义区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,昌平区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,大兴区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,怀柔区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,平谷区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,密云区,22.415455296546437,107.35732203836824
中国,北京市,市辖区,延庆区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,和平区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,河东区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,河西区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,南开区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,河北区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,红桥区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,滨海新区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,东丽区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,西青区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,津南区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,北辰区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,武清区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,宝坻区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,宁河区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,静海区,22.415455296546437,107.35732203836824
中国,天津市,市辖区,蓟州区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,长安区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,桥东区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,桥西区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,新华区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,井陉矿区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,裕华区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,井陉县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,正定县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,栾城区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,行唐县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,灵寿县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,高邑县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,深泽县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,赞皇县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,无极县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,平山县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,元氏县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,赵县,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,辛集市,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,藁城区,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,晋州市,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,新乐市,22.415455296546437,107.35732203836824
中国,河北省,石家庄市,鹿泉区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,路南区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,路北区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,古冶区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,开平区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,丰南区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,曹妃甸区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,丰润区,22.415455296546437,107.35732203836824
中国,河北省,唐山市,滦县,22.415455296546437,107.35732203836824
中国,河北省,唐山市,滦南县,22.415455296546437,107.35732203836824
中国,河北省,唐山市,乐亭县,22.415455296546437,107.35732203836824
中国,河北省,唐山市,迁西县,22.415455296546437,107.35732203836824
中国,河北省,唐山市,玉田县,22.415455296546437,107.35732203836824
中国,河北省,唐山市,遵化市,22.415455296546437,107.35732203836824
中国,河北省,唐山市,迁安市,22.415455296546437,107.35732203836824
中国,河北省,秦皇岛市,海港区,22.415455296546437,107.35732203836824
中国,河北省,秦皇岛市,山海关区,22.415455296546437,107.35732203836824
中国,河北省,秦皇岛市,北戴河区,22.415455296546437,107.35732203836824
中国,河北省,秦皇岛市,青龙满族自治县,22.415455296546437,107.35732203836824
中国,河北省,秦皇岛市,昌黎县,22.415455296546437,107.35732203836824
中国,河北省,秦皇岛市,抚宁区,22.415455296546437,107.35732203836824
中国,河北省,秦皇岛市,卢龙县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,邯山区,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,丛台区,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,复兴区,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,峰峰矿区,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,临漳县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,成安县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,大名县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,涉县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,磁县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,肥乡区,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,永年区,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,邱县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,鸡泽县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,广平县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,馆陶县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,魏县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,曲周县,22.415455296546437,107.35732203836824
中国,河北省,邯郸市,武安市,22.415455296546437,107.35732203836824
中国,河北省,邢台市,邢台县,22.415455296546437,107.35732203836824
中国,河北省,邢台市,临城县,22.415455296546437,107.35732203836824
中国,河北省,邢台市,内丘县,22.415455296546437,107.35732203836824
中国,河北省,邢台市,柏乡县,22.415455296546437,107.35732203836824
中国,河北省,邢台市,隆尧县,22.415455296546437,107.35732203836824
中国,河北省,邢台市,任县,22.415455296546437,107.35732203836824
